, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,9 minutes ago,900,1, Manhattan ,4795,NA,NY ,10028,401 E 80 # 33F
1,9 minutes ago,NA,NA, New York ,7495,NA,NY ,10028,206 E 83rd St APT 1E
2,Updated today,1,1, New York ,3100,NA,NY ,10028,200 E 81st St
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,2 hours ago,NA,1, New York ,2175,NA,NY ,10028,22 E 84th St # 2A
5,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
6,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
7,5 hours ago,NA,1, New York ,2000,NA,NY ,10028,88 E End Ave APT 2B
8,6 hours ago,NA,1, New York ,1895,NA,NY ,10028,340 E 83rd St # G
9,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
10,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
11,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
12,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
13,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
14,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
15,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
16,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
17,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
18,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
19,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
20,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
21,1 day ago,1,1, New York ,3150,900,NY ,10028,1626 2nd Ave APT 4S
22,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
23,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
24,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
25,1 day ago,4400,3, New York ,25000,NA,NY ,10028,157 E 84th St # THE
26,1 day ago,1,2, New York ,2750,NA,NY ,10028,444 E 81st St APT 15
