, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,5 hours ago,NA,1, New York ,1550,NA,NY ,10032,75 Fort Washington Ave # B
1,6 hours ago,1,3, New York ,2750,NA,NY ,10032,522 W 161st St APT 12
2,6 hours ago,1,2, New York ,2250,650,NY ,10032,512 W 158th St APT 1
3,6 hours ago,1,2, New York ,2200,NA,NY ,10032,504 W 159th St APT 6D
4,6 hours ago,1,3, New York ,2835,NA,NY ,10032,715 W 172nd St # 288
5,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
6,11 hours ago,1,2, New York ,2000,NA,NY ,10032,105 Audubon Ave APT 4D
7,1 day ago,1,1, New York ,2000,581,NY ,10032,775 Riverside Dr APT 2A
8,1 day ago,325,1, New York ,1295,NA,NY ,10032,554 W 173rd St # 2
9,1 day ago,1,3, New York ,3095,1100,NY ,10032,664 W 163rd St APT 66A
10,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
11,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
12,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2 days ago,1,4, New York ,3000,NA,NY ,10032,545 W 162nd St APT 56
15,2 days ago,1,3, New York ,2600,NA,NY ,10032,550 W 158th St APT 1D
16,3 days ago,3,3, New York ,8000,1600,NY ,10032,420 W 163rd St # 7A
17,4 days ago,1,1, New York ,1625,465,NY ,10032,559 W 164th St APT 6C
18,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,6 days ago,1,3, New York ,3295,1500,NY ,10032,530 W 157th St APT 6E
22,7 days ago,1,1, New York ,1995,NA,NY ,10032,920 Riverside Dr APT 62A
23,8 days ago,1,3, New York ,2750,NA,NY ,10032,940 Saint Nicholas Ave APT 4J
24,8 days ago,1,2, New York ,2350,NA,NY ,10032,509 W 155th St # 23
25,8 days ago,2,3, New York ,3200,NA,NY ,10032,470 W 166th St APT 31
26,NA,NA,NA,NA,NA,NA,NA,NA,NA
