, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,10 hours ago,500,1, New York ,2000,NA,NY ,10075,1466 1st Ave APT 3A
4,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
5,1 day ago,2,2, New York ,6750,NA,NY ,10075,170 E 77th St APT 2B
6,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
7,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
8,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
9,Updated yesterday,1,1, New York ,3000,NA,NY ,10075,1435 York Ave
10,1 day ago,1,1, New York ,2150,NA,NY ,10075,1475 2nd Ave APT 4D
11,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2 days ago,1,1, New York ,3695,720,NY ,10075,420 E 79th St APT 4C
15,2 days ago,1,1, New York ,2025,NA,NY ,10075,236 E 80th St APT 23
16,2 days ago,1,2, New York ,4150,NA,NY ,10075,313 E 78th St APT 1D
17,2 days ago,NA,1, New York ,1925,NA,NY ,10075,1378 3rd Ave APT 2B
18,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,3 days ago,1,1, New York ,3500,NA,NY ,10075,20 E 80th St APT 5A
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3 days ago,8,5, New York ,75000,8400,NY ,10075,15 E 80th St
22,3 days ago,1,2, New York ,3195,NA,NY ,10075,410 E 78th St # 5L
23,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,3 days ago,NA,1, New York ,1800,NA,NY ,10075,345 E 78th St APT 5A
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,3 days ago,1,1, New York ,2250,NA,NY ,10075,306 E 80th St # 4BB
