, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,7 hours ago,350,1, New York ,1550,NA,NY ,10027,206 W 132nd St APT 3F
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,14 hours ago,NA,4, New York ,4000,NA,NY ,10027,409 W 129th St APT 11
3,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
4,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
5,18 hours ago,1,2, New York ,2695,850,NY ,10027,3161 Broadway APT 3B
6,19 hours ago,1,1, New York ,1795,NA,NY ,10027,100 Convent Ave APT 507
7,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
8,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
9,20 hours ago,NA,1, New York ,1850,NA,NY ,10027,355 W 123rd St APT 3B
10,21 hours ago,1,2, New York ,3000,800,NY ,10027,3117 Broadway APT 8G
11,23 hours ago,1,3, New York ,3413,1400,NY ,10027,244 W 122nd St APT 3B
12,1 day ago,1,1, New York ,1795,NA,NY ,10027,4 W 121st St APT 4
13,1 day ago,NA,1, New York ,1795,NA,NY ,10027,155 W 121st St APT 1B
14,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1 day ago,2,2, New York ,5500,1377,NY ,10027,129 W 123rd St # 8
16,1 day ago,900,1, New York ,2800,NA,NY ,10027,34 W 126th St # 1
17,2 days ago,2000,2, Manhattan ,7500,NA,NY ,10027,380 Lenox Avenue Phcc
18,3 days ago,NA,1, New York ,1950,NA,NY ,10027,1272 Amsterdam Ave APT 3B
19,3 days ago,1,1, New York ,1850,900,NY ,10027,160 W 123rd St APT 4
20,3 days ago,1,2, Manhattan ,2800,NA,NY ,10027,2010 7th Ave # 3D
21,3 days ago,1,2, New York ,2100,NA,NY ,10027,412 W 129th St APT 23
22,4 days ago,2,3, New York ,6477,2200,NY ,10027,149 W 120th St APT 1
23,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,4 days ago,2,3, New York ,3895,1700,NY ,10027,128 W 129th St APT 2
25,4 days ago,1,2, New York ,3100,675,NY ,10027,3155 Broadway APT 16
26,NA,NA,NA,NA,NA,NA,NA,NA,NA
