, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,2 hours ago,1,2, New York ,3095,NA,NY ,10010,221 E 21st St APT 3D
5,3 hours ago,1,2, New York ,3995,900,NY ,10010,132 E 24th St # 1
6,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
7,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
8,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
9,1 day ago,2,3, New York ,4700,800,NY ,10010,256 3rd Ave APT 2
10,1 day ago,375,1, New York ,2400,NA,NY ,10010,172 5th Ave APT 5A
11,1 day ago,1,1, New York ,2200,NA,NY ,10010,155 E 26th St APT 2C
12,1 day ago,1,1, New York ,4200,750,NY ,10010,45 E 25th St APT 12B
13,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
14,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
15,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
16,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
17,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
18,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
19,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
20,1 day ago,2,2, New York ,5682,943,NY ,10010,350 1st Ave APT 14F
21,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
22,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
23,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA
