, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,5 hours ago,1,1, New York ,4200,1000,NY ,10021,157 E 71st St # RR
3,6 hours ago,1,1, New York ,2600,700,NY ,10021,307 E 76th St APT 2A
4,7 hours ago,1200,2, New York ,4350,NA,NY ,10021,332 E 74th St APT 5B
5,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
6,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
7,11 hours ago,1,1, New York ,1900,NA,NY ,10021,316 E 70th St APT 3FW
8,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
9,23 hours ago,NA,1, New York ,4762,NA,NY ,10021,300 E 75th St APT 28O
10,1 day ago,1,1, New York ,3250,800,NY ,10021,304 E 65th St APT 11C
11,1 day ago,1,2, New York ,3000,NA,NY ,10021,1288 1st Ave APT 5RS
12,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
13,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
14,1 day ago,1,1, New York ,2200,550,NY ,10021,971 Lexington Ave APT 3A
15,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
16,1 day ago,1,2, New York ,4487,NA,NY ,10021,1385 York Ave APT 7A
17,1 day ago,1,1, New York ,2595,550,NY ,10021,228 E 75th St APT 4B
18,1 day ago,1,2, New York ,3995,698,NY ,10021,435 E 76th St APT 2E
19,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
20,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
21,2 days ago,1,2, New York ,2500,NA,NY ,10021,220 E 70th St # 2C
22,2 days ago,NA,1, New York ,2150,NA,NY ,10021,410 E 75th St APT 4C
23,2 days ago,1,1, Manhattan ,2475,NA,NY ,10021,400-402 E 75th St # 4
24,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2 days ago,NA,1, New York ,2395,NA,NY ,10021,232 E 74th St APT 4B
26,NA,NA,NA,NA,NA,NA,NA,NA,NA
